block,image_id,image_type,manipulation,phase,subject,verbal_id,semantic_distance,verbal_acc_corrected
2,garlic,target,upside_down,post,h5r0es3xos1tgge,pumpkin,0.4874348279568251,0.0
3,dumbbell,target,regular,pre,h5r0es3xos1tgge,pony,0.7441663413361879,0.0
3,puddle,target,regular,post,h5r0es3xos1tgge,chair,0.7984738218875683,0.0
3,figurine,target,upside_down,pre,h5r0es3xos1tgge,hay,0.9027880747002922,0.0
3,lip_gloss,target,horizontal_flip,pre,h5r0es3xos1tgge,pen,0.808221582889206,0.0
3,rattlesnake,target,upside_down,post,h5r0es3xos1tgge,tie,0.7315727505288735,0.0
3,peanut_butter,target,horizontal_flip,post,h5r0es3xos1tgge,pool,0.718876473342382,0.0
4,backpack,target,horizontal_flip,pre,h5r0es3xos1tgge,woman,0.7397073636558782,0.0
4,figurine,target,upside_down,post,h5r0es3xos1tgge,mushroom,0.7317275032855246,0.0
4,polar_bear,target,regular,pre,h5r0es3xos1tgge,grass,0.7297535370989121,0.0
4,gargoyle,target,upside_down,pre,h5r0es3xos1tgge,horse,0.4254749505820893,0.0
4,dumbbell,target,regular,post,h5r0es3xos1tgge,pony,0.7441663413361879,0.0
4,lip_gloss,target,horizontal_flip,post,h5r0es3xos1tgge,pen,0.808221582889206,0.0
5,polar_bear,target,regular,post,h5r0es3xos1tgge,hay,0.7954785699141157,0.0
5,backpack,target,horizontal_flip,post,h5r0es3xos1tgge,woman,0.7397073636558782,0.0
5,gargoyle,target,upside_down,post,h5r0es3xos1tgge,camel,0.6057321131465159,0.0
0,puffin,target,upside_down,pre,dux4elsp9493oa3,ocular,0.7189689787557896,0.0
0,bat2,target,regular,pre,dux4elsp9493oa3,racehorse,0.7910738620904394,0.0
0,pomegranate,target,horizontal_flip,pre,dux4elsp9493oa3,pacifier,0.7652679870928888,0.0
1,bullet,target,horizontal_flip,pre,dux4elsp9493oa3,human_elbow,0.7100433464817761,0.0
1,dumbbell,target,upside_down,pre,dux4elsp9493oa3,feather,0.7197491350909917,0.0
1,pomegranate,target,horizontal_flip,post,dux4elsp9493oa3,kazoo,0.8146677262328088,0.0
1,mannequin,target,regular,pre,dux4elsp9493oa3,hack,0.776965375591588,0.0
1,puffin,target,upside_down,post,dux4elsp9493oa3,nailfile,0.7178877131818973,0.0
1,bat2,target,regular,post,dux4elsp9493oa3,bird,0.6294355253742543,0.0
2,bullet,target,horizontal_flip,post,dux4elsp9493oa3,hummus,0.8689239415152027,0.0
2,gutter,target,regular,pre,dux4elsp9493oa3,street_sign,0.6925017630602263,0.0
2,mannequin,target,regular,post,dux4elsp9493oa3,darning_needle,0.5709349395899532,0.0
2,polar_bear,target,horizontal_flip,pre,dux4elsp9493oa3,odometer,0.7745111814163079,0.0
2,dumbbell,target,upside_down,post,dux4elsp9493oa3,mantelpiece,0.6866110752820261,0.0
2,drill,target,upside_down,pre,dux4elsp9493oa3,image_scanner,0.8299800439944856,0.0
3,drill,target,upside_down,post,dux4elsp9493oa3,feather,0.8368374338917655,0.0
3,polar_bear,target,horizontal_flip,post,dux4elsp9493oa3,saddle,0.8428814772367579,0.0
3,gutter,target,regular,post,dux4elsp9493oa3,mortise_joint,0.7344752204583194,0.0
3,surfboard,target,upside_down,pre,dux4elsp9493oa3,sundae,0.7225708713773847,0.0
3,grasshopper,target,horizontal_flip,pre,dux4elsp9493oa3,sunroof,0.7854091688141781,0.0
3,backpack,target,regular,pre,dux4elsp9493oa3,sail,0.7561476832660636,0.0
4,surfboard,target,upside_down,post,dux4elsp9493oa3,patch,0.7656386083187029,0.0
4,ginger,target,regular,pre,dux4elsp9493oa3,cirripede,0.7108511962464192,0.0
